title,author,length
The Primal Hunter 2,Zogarth,Length: 19 hrs and 25 mins
Freed,E. L. James,Length: 27 hrs and 15 mins
Becoming Supernatural,Joe Dispenza,Length: 14 hrs and 6 mins
Fourth Wing,Rebecca Yarros,Length: 20 hrs and 43 mins
The Dark Tower,Stephen King,Length: 28 hrs and 50 mins
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 8 hrs and 26 mins
Mistletoe and Mishigas,M.A. Wardell,Length: 8 hrs and 58 mins
Leslie F*cking Jones,"Leslie Jones,Chris Rock - foreword",Length: 16 hrs and 32 mins
Atlas of the Heart,Brené Brown,Length: 8 hrs and 29 mins
He Who Fights with Monsters 7,"Shirtaloon,Travis Deverell",Length: 18 hrs and 39 mins
Thrawn (Star Wars),Timothy Zahn,Length: 16 hrs and 56 mins
Overcoming Imposter Syndrome,"Kelly Vincent,The Great Courses",Length: 2 hrs and 10 mins
The Queen's Gambit,Walter Tevis,Length: 11 hrs and 50 mins
Unfu*k Yourself,Gary John Bishop,Length: 3 hrs and 24 mins
Haunting Adeline,H. D. Carlton,Length: 15 hrs and 48 mins
Defiance of the Fall 4: A LitRPG Adventure,"TheFirstDefier,JF Brink",Length: 22 hrs and 47 mins
The Hobbit,J. R. R. Tolkien,Length: 11 hrs and 5 mins
"Overlord, Vol. 10","Kugane Maruyama,so-bin - illustrator",Length: 11 hrs and 7 mins
Forbidden Shifters Complete Series (Books 1-6),Selena Scott,Length: 54 hrs and 5 mins
The Fall of Hyperion,Dan Simmons,Length: 21 hrs and 45 mins
Defiance of the Fall 7,"TheFirstDefier,JF Brink",Length: 23 hrs and 3 mins
Relentless,Mark Greaney,Length: 15 hrs and 39 mins
A Court of Thorns and Roses (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 5 hrs and 51 mins
The Lightning Thief,Rick Riordan,Length: 10 hrs and 2 mins
The Devil's Hand,Jack Carr,Length: 14 hrs and 37 mins
Hello Beautiful,Ann Napolitano,Length: 15 hrs and 6 mins
None of This Is True,Lisa Jewell,Length: 10 hrs and 20 mins
Always Legion,"Jason Anspach,Peter Nealen,Nick Cole",Length: 9 hrs and 53 mins
The Butcher's Masquerade,Matt Dinniman,Length: 23 hrs and 33 mins
10 Commandments of Black Economic Power,Dr. Boyce Watkins,Length: 4 hrs and 36 mins
